atomic_num,symbol,name,name_origin,group,period,atomic_weight,atomic_wt_is_mass_number_of_longest_lived_isotope,specific_heat_capacity_J_per_gK,density_g_per_cm3,density_is_estimated,melting_point_k,melt_is_estimated,boiling_point_k,boil_is_estimated,electronegativity,abundance_mg_per_kg,abundance_is_upper_limit
16,S,Sulfur,"Either from the Sanskrit 'sulvere', or the Latin 'sulfurium', both names for sulfur[2]",16,3,32.06,0,0.71,2.067,0,388.36,0,717.87,0,2.58,350,0
17,Cl,Chlorine,"the Greek 'chloros', meaning greenish yellow",17,3,35.45,0,0.479,0.003214,0,171.6,0,239.11,0,3.16,145,0
18,Ar,Argon,"the Greek, 'argos', meaning idle",18,3,39.948,0,0.52,0.0017837,0,83.8,0,87.3,0,,3.5,0
19,K,Potassium,the English word potash (kalium in Latin)[2],1,4,39.0983,0,0.757,0.862,0,336.53,0,1032,0,0.82,20900,0
20,Ca,Calcium,the Latin 'calx' meaning lime,2,4,40.078,0,0.647,1.54,0,1115,0,1757,0,1,41500,0
21,Sc,Scandium,Scandinavia (with the Latin name Scandia),3,4,44.955912,0,0.568,2.989,0,1814,0,3109,0,1.36,22,0
22,Ti,Titanium,"Titans, the sons of the Earth goddess of Greek mythology",4,4,47.867,0,0.523,4.54,0,1941,0,3560,0,1.54,5650,0
23,V,Vanadium,"Vanadis, an old Norse name for the Scandinavian goddess Freyja",5,4,50.9415,0,0.489,6.11,0,2183,0,3680,0,1.63,120,0
24,Cr,Chromium,"the Greek 'chroma', meaning colour",6,4,51.9961,0,0.449,7.15,0,2180,0,2944,0,1.66,102,0
25,Mn,Manganese,"Either the Latin 'magnes', meaning magnet or from the black magnesium oxide, 'magnesia nigra'",7,4,54.938045,0,0.479,7.44,0,1519,0,2334,0,1.55,950,0
26,Fe,Iron,the Anglo-Saxon name iren (ferrum in Latin),8,4,55.845,0,0.449,7.874,0,1811,0,3134,0,1.83,56300,0
27,Co,Cobalt,"the German word 'kobald', meaning goblin",9,4,58.933195,0,0.421,8.86,0,1768,0,3200,0,1.88,25,0
28,Ni,Nickel,the shortened of the German 'kupfernickel' meaning either devil's copper or St. Nicholas's copper,10,4,58.6934,0,0.444,8.912,0,1728,0,3186,0,1.91,84,0
29,Cu,Copper,"the Old English name coper in turn derived from the Latin 'Cyprium aes', meaning a metal from Cyprus",11,4,63.546,0,0.385,8.96,0,1357.77,0,2835,0,1.9,60,0
30,Zn,Zinc,"the German, 'zinc', which may in turn be derived from the Persian word 'sing', meaning stone",12,4,65.38,0,0.388,7.134,0,692.88,0,1180,0,1.65,70,0
31,Ga,Gallium,France (with the Latin name Gallia),13,4,69.723,0,0.371,5.907,0,302.9146,0,2477,0,1.81,19,0
32,Ge,Germanium,Germany (with the Latin name Germania),14,4,72.63,0,0.32,5.323,0,1211.4,0,3106,0,2.01,1.5,0
33,As,Arsenic,the Greek name 'arsenikon' for the yellow pigment orpiment,15,4,74.9216,0,0.329,5.776,0,1090,0,887,0,2.18,1.8,0
34,Se,Selenium,Moon (with the Greek name selene),16,4,78.96,0,0.321,4.809,0,453,0,958,0,2.55,0.05,0
35,Br,Bromine,the Greek 'bromos' meaning stench,17,4,79.9049,0,0.474,3.122,0,265.8,0,332,0,2.96,2.4,0
36,Kr,Krypton,"the Greek 'kryptos', meaning hidden",18,4,83.798,0,0.248,0.003733,0,115.79,0,119.93,0,3,0.001,1
37,Rb,Rubidium,"the Latin 'rubidius', meaning deepest red",1,5,85.4678,0,0.363,1.532,0,312.46,0,961,0,0.82,90,0
38,Sr,Strontium,"Strontian, a small town in Scotland",2,5,87.62,0,0.301,2.64,0,1050,0,1655,0,0.95,370,0
39,Y,Yttrium,"Ytterby, Sweden",3,5,88.90585,0,0.298,4.469,0,1799,0,3609,0,1.22,33,0
40,Zr,Zirconium,"the Persian 'zargun', meaning gold coloured",4,5,91.224,0,0.278,6.506,0,2128,0,4682,0,1.33,165,0
41,Nb,Niobium,"Niobe, daughter of king Tantalus from Greek mythology",5,5,92.90638,0,0.265,8.57,0,2750,0,5017,0,1.6,20,0
42,Mo,Molybdenum,the Greek 'molybdos' meaning lead,6,5,95.96,0,0.251,10.22,0,2896,0,4912,0,2.16,1.2,0
43,Tc,Technetium,the Greek 'tekhnetos' meaning artificial,7,5,98,1,Ð,11.5,0,2430,0,4538,0,1.9,0.001,1
44,Ru,Ruthenium,Russia (with the Latin name Ruthenia),8,5,101.07,0,0.238,12.37,0,2607,0,4423,0,2.2,0.001,0
45,Rh,Rhodium,"the Greek 'rhodon', meaning rose coloured",9,5,102.9055,0,0.243,12.41,0,2237,0,3968,0,2.28,0.001,0
46,Pd,Palladium,"the then recently-discovered asteroid Pallas, considered a planet at the time",10,5,106.42,0,0.244,12.02,0,1828.05,0,3236,0,2.2,0.015,0
47,Ag,Silver,the Anglo-Saxon name siolfur (argentum in Latin)[2],11,5,107.8682,0,0.235,10.501,0,1234.93,0,2435,0,1.93,0.075,0
48,Cd,Cadmium,"the Latin name for the mineral calmine, 'cadmia'",12,5,112.411,0,0.232,8.69,0,594.22,0,1040,0,1.69,0.159,0
49,In,Indium,"the Latin 'indicium', meaning violet or indigo",13,5,114.818,0,0.233,7.31,0,429.75,0,2345,0,1.78,0.25,0
50,Sn,Tin,"the Anglo-Saxon word tin (stannum in Latin, meaning hard)",14,5,118.71,0,0.228,7.287,0,505.08,0,2875,0,1.96,2.3,0
51,Sb,Antimony,"the Greek 'anti Ð monos', meaning not alone (stibium in Latin)",15,5,121.76,0,0.207,6.685,0,903.78,0,1860,0,2.05,0.2,0
52,Te,Tellurium,"Earth, the third planet on solar system (with the Latin word tellus)",16,5,127.6,0,0.202,6.232,0,722.66,0,1261,0,2.1,0.001,0
53,I,Iodine,the Greek 'iodes' meaning violet,17,5,126.90447,0,0.214,4.93,0,386.85,0,457.4,0,2.66,0.45,0
54,Xe,Xenon,the Greek 'xenos' meaning stranger,18,5,131.293,0,0.158,0.005887,0,161.4,0,165.03,0,2.6,0.001,1
55,Cs,Caesium,"the Latin 'caesius', meaning sky blue",1,6,132.9054519,0,0.242,1.873,0,301.59,0,944,0,0.79,3,0
56,Ba,Barium,"the Greek 'barys', meaning heavy",2,6,137.327,0,0.204,3.594,0,1000,0,2170,0,0.89,425,0
57,La,Lanthanum,"the Greek 'lanthanein', meaning to lie hidden",,6,138.90547,0,0.195,6.145,0,1193,0,3737,0,1.1,39,0
58,Ce,Cerium,"Ceres, the Roman God of agriculture",,6,140.116,0,0.192,6.77,0,1068,0,3716,0,1.12,66.5,0
59,Pr,Praseodymium,the Greek 'prasios didymos' meaning green twin,,6,140.90765,0,0.193,6.773,0,1208,0,3793,0,1.13,9.2,0
60,Nd,Neodymium,the Greek 'neos didymos' meaning new twin,,6,144.242,0,0.19,7.007,0,1297,0,3347,0,1.14,41.5,0
61,Pm,Promethium,Prometheus of Greek mythology who stole fire from the Gods and gave it to humans,,6,145,1,,7.26,0,1315,0,3273,0,1.13,0.001,1
62,Sm,Samarium,"Samarskite, the name of the mineral from which it was first isolated",,6,150.36,0,0.197,7.52,0,1345,0,2067,0,1.17,7.05,0
63,Eu,Europium,Europe,,6,151.964,0,0.182,5.243,0,1099,0,1802,0,1.2,2,0
64,Gd,Gadolinium,"Johan Gadolin, chemist, physicist and mineralogist",,6,157.25,0,0.236,7.895,0,1585,0,3546,0,1.2,6.2,0
65,Tb,Terbium,"Ytterby, Sweden",,6,158.92535,0,0.182,8.229,0,1629,0,3503,0,1.2,1.2,0
66,Dy,Dysprosium,"the Greek 'dysprositos', meaning hard to get",,6,162.5,0,0.17,8.55,0,1680,0,2840,0,1.22,5.2,0
67,Ho,Holmium,"Stockholm, Sweden (with the Latin name Holmia)",,6,164.93032,0,0.165,8.795,0,1734,0,2993,0,1.23,1.3,0
68,Er,Erbium,"Ytterby, Sweden",,6,167.259,0,0.168,9.066,0,1802,0,3141,0,1.24,3.5,0
69,Tm,Thulium,"Thule, the ancient name for Scandinavia",,6,168.93421,0,0.16,9.321,0,1818,0,2223,0,1.25,0.52,0
70,Yb,Ytterbium,"Ytterby, Sweden",,6,173.054,0,0.155,6.965,0,1097,0,1469,0,1.1,3.2,0
71,Lu,Lutetium,"Paris, France (with the Roman name Lutetia)",3,6,174.9668,0,0.154,9.84,0,1925,0,3675,0,1.27,0.8,0
72,Hf,Hafnium,"Copenhagen, Denmark (with the Latin name Hafnia)",4,6,178.49,0,0.144,13.31,0,2506,0,4876,0,1.3,3,0
73,Ta,Tantalum,"King Tantalus, father of Niobe from Greek mythology",5,6,180.94788,0,0.14,16.654,0,3290,0,5731,0,1.5,2,0
74,W,Tungsten,"the Swedish 'tung sten' meaning heavy stone (W is wolfram, the old name of the tungsten mineral wolframite)[2]",6,6,183.84,0,0.132,19.25,0,3695,0,5828,0,2.36,1.3,0
75,Re,Rhenium,"Rhine, a river that flows from Grisons in the eastern Swiss Alps to the North Sea coast in the Netherlands (with the Latin name Rhenia)",7,6,186.207,0,0.137,21.02,0,3459,0,5869,0,1.9,0.001,1
76,Os,Osmium,"the Greek 'osme', meaning smell",8,6,190.23,0,0.13,22.61,0,3306,0,5285,0,2.2,0.002,0
77,Ir,Iridium,"Iris, the Greek goddess of the rainbow",9,6,192.217,0,0.131,22.56,0,2719,0,4701,0,2.2,0.001,0
78,Pt,Platinum,"the Spanish 'platina', meaning little silver",10,6,195.084,0,0.133,21.46,0,2041.4,0,4098,0,2.28,0.005,0
79,Au,Gold,"the Anglo-Saxon word gold (aurum in Latin, meaning glow of sunrise)[2]",11,6,196.966569,0,0.129,19.282,0,1337.33,0,3129,0,2.54,0.004,0
80,Hg,Mercury,"Mercury, the first planet in the Solar System (Hg from former name hydrargyrum, from Greek hydr- water and argyros silver)",12,6,200.592,0,0.14,13.5336,0,234.43,0,629.88,0,2,0.085,0
81,Tl,Thallium,"the Greek 'thallos', meaning a green twig",13,6,204.389,0,0.129,11.85,0,577,0,1746,0,1.62,0.85,0
82,Pb,Lead,the Anglo-Saxon lead (plumbum in Latin)[2],14,6,207.2,0,0.129,11.342,0,600.61,0,2022,0,1.87,14,0
83,Bi,Bismuth,the German 'Bisemutum' a corruption of 'Weisse Masse' meaning white mass,15,6,208.9804,0,0.122,9.807,0,544.7,0,1837,0,2.02,0.009,0
84,Po,Polonium,"Poland, the native country of Marie Curie, who first isolated the element",16,6,209,1,,9.32,0,527,0,1235,0,2,0.001,1
85,At,Astatine,"the Greek 'astatos', meaning unstable",17,6,210,1,,7,0,575,0,610,0,2.2,0.001,1
86,Rn,Radon,"From radium, as it was first detected as an emission from radium during radioactive decay",18,6,222,1,0.094,0.00973,0,202,0,211.3,0,2.2,0.001,1
87,Fr,Francium,"France, where it was first discovered",1,7,223,1,,1.87,0,300,0,950,0,0.7,0.001,1
88,Ra,Radium,"the Latin 'radius', meaning ray",2,7,226,1,0.094,5.5,0,973,0,2010,0,0.9,0.001,1
89,Ac,Actinium,"the Greek 'actinos', meaning a ray",,7,227,1,0.12,10.07,0,1323,0,3471,0,1.1,0.001,1
90,Th,Thorium,"Thor, the Scandinavian god of thunder",,7,232.03806,0,0.113,11.72,0,2115,0,5061,0,1.3,9.6,0
91,Pa,Protactinium,"the Greek 'protos', meaning first, as a prefix to the element actinium, which is produced through the radioactive decay of protactinium",,7,231.03588,0,,15.37,0,1841,0,4300,0,1.5,0.001,1
92,U,Uranium,"Uranus, the seventh planet in the Solar System",,7,238.02891,0,0.116,18.95,0,1405.3,0,4404,0,1.38,2.7,0
93,Np,Neptunium,"Neptune, the eighth planet in the Solar System",,7,237,1,,20.45,0,917,0,4273,0,1.36,0.001,1
94,Pu,Plutonium,"Pluto, a dwarf planet in the Solar System",,7,244,1,,19.84,0,912.5,0,3501,0,1.28,0.001,1
95,Am,Americium,"Americas, the continent where the element was first synthesized",,7,243,1,,13.69,0,1449,0,2880,0,1.13,0.001,1
96,Cm,Curium,"Pierre Curie, a physicist, and Marie Curie, a physicist and chemist",,7,247,1,,13.51,0,1613,0,3383,0,1.28,0.001,1
97,Bk,Berkelium,"Berkeley, California, USA, where the element was first synthesized",,7,247,1,,14.79,0,1259,0,2900,0,1.3,0.001,1
98,Cf,Californium,"State of California, USA, where the element was first synthesized",,7,251,1,,15.1,0,1173,0,1743,1,1.3,0.001,1
99,Es,Einsteinium,"Albert Einstein, physicist",,7,252,1,,8.84,0,1133,0,1269,1,1.3,0,0
100,Fm,Fermium,"Enrico Fermi, physicist",,7,257,1,,,0,1125,1,,0,1.3,0,0
101,Md,Mendelevium,"Dmitri Mendeleyev, chemist and inventor",,7,258,1,,,0,1100,1,,0,1.3,0,0
102,No,Nobelium,"Alfred Nobel, chemist, engineer, innovator, and armaments manufacturer",,7,259,1,,,0,1100,1,,0,1.3,0,0
103,Lr,Lawrencium,"Ernest O. Lawrence, physicist",3,7,262,1,,,0,1900,1,,0,1.3,0,0
104,Rf,Rutherfordium,"Ernest Rutherford, chemist and physicist",4,7,267,1,,23.2,1,2400,1,5800,1,,0,0
105,Db,Dubnium,"Dubna, Russia",5,7,268,1,,29.3,1,,0,,0,,0,0
106,Sg,Seaborgium,"Glenn T. Seaborg, scientist",6,7,269,1,,35,1,,0,,0,,0,0
107,Bh,Bohrium,"Niels Bohr, physicist",7,7,270,1,,37.1,1,,0,,0,,0,0
108,Hs,Hassium,"Hesse, Germany, where the element was first synthesized",8,7,269,1,,40.7,1,,0,,0,,0,0
109,Mt,Meitnerium,"Lise Meitner, physicist",9,7,278,1,,37.4,1,,0,,0,,0,0
110,Ds,Darmstadtium,"Darmstadt, Germany, where the element was first synthesized",10,7,281,1,,34.8,1,,0,,0,,0,0
111,Rg,Roentgenium,"Wilhelm Conrad Ršntgen, physicist",11,7,281,1,,28.7,1,,0,,0,,0,0
112,Cn,Copernicium,"Nicolaus Copernicus, astronomer",12,7,285,1,,23.7,1,,0,357,0,,0,0
113,Uut,Ununtrium,IUPAC systematic element name,13,7,286,1,,16,1,700,1,1400,1,,0,0
114,Fl,Flerovium,"Georgy Flyorov, physicist",14,7,289,1,,14,1,340,1,420,1,,0,0
115,Uup,Ununpentium,IUPAC systematic element name,15,7,288,1,,13.5,1,700,1,1400,1,,0,0
116,Lv,Livermorium,"Lawrence Livermore National Laboratory (in Livermore, California) which collaborated with JINR on its synthesis",16,7,293,1,,12.9,1,708.5,1,1085,1,,0,0
117,Uus,Ununseptium,IUPAC systematic element name,17,7,294,1,,7.2,1,673,1,823,1,,0,0
118,Uuo,Ununoctium,IUPAC systematic element name,18,7,294,1,,5,1,258,1,263,1,,0,0
